Date,Price,Open,High,Low,Vol.,Change +ACU-
12/23/2022,26235.25,26207.77,26291.98,26106.38,,+AC0-1.03+ACU-
12/22/2022,26507.87,26552.43,26585.28,26399.31,,0.46+ACU-
12/21/2022,26387.72,26547.17,26616.28,26269.8,,+AC0-0.68+ACU-
12/20/2022,26568.03,27257.35,27339.49,26416.91,,+AC0-2.46+ACU-
12/19/2022,27237.64,27279.92,27349.58,27165.78,,+AC0-1.05+ACU-
12/16/2022,27527.12,27706.7,27713.04,27488.83,,+AC0-1.87+ACU-
12/15/2022,28051.7,27991.14,28163.17,27987.54,,+AC0-0.37+ACU-
12/14/2022,28156.21,28005.03,28195.69,27993.78,,0.72+ACU-
12/13/2022,27954.85,28067.37,28116.56,27907.49,,0.40+ACU-
12/12/2022,27842.33,27741.1,27865.72,27734.66,,+AC0-0.21+ACU-
12/09/2022,27901.01,27633.96,27952.8,27633.96,,1.18+ACU-
12/08/2022,27574.43,27622.3,27643.64,27415.66,,+AC0-0.40+ACU-
12/07/2022,27686.4,27670.29,27786.25,27646.78,,+AC0-0.72+ACU-
12/06/2022,27885.87,27704.06,27934.07,27698.31,,0.24+ACU-
12/05/2022,27820.4,27752.99,27854.11,27700.86,,0.15+ACU-
12/02/2022,27777.9,27983.18,27983.18,27662.12,,+AC0-1.59+ACU-
12/01/2022,28226.08,28273.13,28423.46,28226.08,,0.92+ACU-
11/30/2022,27968.99,27886.67,27972.89,27802.71,,+AC0-0.21+ACU-
11/29/2022,28027.84,27991.5,28055.91,27899.98,,+AC0-0.48+ACU-
11/28/2022,28162.83,28220.56,28238.5,28046.32,,+AC0-0.42+ACU-
11/25/2022,28283.03,28398.77,28399.88,28263.6,,+AC0-0.35+ACU-
11/24/2022,28383.09,28373.72,28502.29,28363.66,,0.95+ACU-
11/22/2022,28115.74,28059.51,28203.35,28038.16,,0.61+ACU-
11/21/2022,27944.79,27982,28007.06,27846.3,,0.16+ACU-
11/18/2022,27899.77,28009.82,28045.44,27877.78,,+AC0-0.11+ACU-
11/17/2022,27930.57,27952.21,28029.62,27910.01,,+AC0-0.35+ACU-
11/16/2022,28028.3,28020.49,28069.25,27743.15,,0.14+ACU-
11/15/2022,27990.17,27940.26,28038.63,27903.27,,0.10+ACU-
11/14/2022,27963.47,28277.64,28305.04,27963.47,,+AC0-1.06+ACU-
11/11/2022,28263.57,27868.69,28329.54,27837.09,,2.98+ACU-
11/10/2022,27446.1,27459.08,27485.38,27370.62,,+AC0-0.98+ACU-
11/09/2022,27716.43,27884.55,27926.52,27688.86,,+AC0-0.56+ACU-
11/08/2022,27872.11,27718.84,27943.27,27704.64,,1.25+ACU-
11/07/2022,27527.64,27406.78,27578.01,27357.53,,1.21+ACU-
11/04/2022,27199.74,27371.89,27389.3,27032.02,,+AC0-1.68+ACU-
11/02/2022,27663.39,27562.3,27692.55,27546.88,,+AC0-0.06+ACU-
11/01/2022,27678.92,27614.64,27682.97,27526.18,,0.33+ACU-
10/31/2022,27587.46,27404.3,27602.99,27392.99,,1.78+ACU-
10/28/2022,27105.2,27097.38,27265.46,26981.08,,+AC0-0.88+ACU-
10/27/2022,27345.24,27407.23,27450.26,27330.79,,+AC0-0.32+ACU-
10/26/2022,27431.84,27410.64,27578.05,27404.9,,0.67+ACU-
