Date,Price,Open,High,Low,Vol.,Change +ACU-
19/03/2024,7738.3,7722.55,7739.67,7699.57,1.01B,0.20+ACU-
18/03/2024,7722.55,7727.42,7750.17,7714.9,944.57M,+AC0-0.06+ACU-
15/03/2024,7727.42,7743.15,7761.06,7727.42,2.58B,+AC0-0.20+ACU-
14/03/2024,7743.15,7772.17,7778.39,7719.11,872.90M,+AC0-0.37+ACU-
13/03/2024,7772.17,7747.81,7785.73,7738.73,1.14B,0.31+ACU-
12/03/2024,7747.81,7669.23,7764.58,7669.23,1.07B,1.02+ACU-
11/03/2024,7669.23,7659.74,7669.23,7612.62,1.04B,0.12+ACU-
08/03/2024,7659.74,7692.46,7693.89,7646.2,845.83M,+AC0-0.43+ACU-
07/03/2024,7692.46,7679.31,7711.78,7645.06,1.35B,0.17+ACU-
06/03/2024,7679.31,7646.16,7701.25,7639.03,1.29B,0.43+ACU-
05/03/2024,7646.16,7640.33,7654.81,7598.47,843.70M,0.08+ACU-
04/03/2024,7640.33,7682.5,7682.64,7623.22,979.61M,+AC0-0.55+ACU-
01/03/2024,7682.5,7630.02,7695.61,7630.02,1.22B,0.69+ACU-
29/02/2024,7630.02,7624.98,7677.69,7622.87,1.87B,0.07+ACU-
28/02/2024,7624.98,7683.02,7693.18,7620.37,1.15B,+AC0-0.76+ACU-
27/02/2024,7683.02,7684.3,7698.29,7669.71,1.06B,+AC0-0.02+ACU-
26/02/2024,7684.3,7706.28,7710.78,7676.75,1.15B,+AC0-0.29+ACU-
23/02/2024,7706.28,7684.49,7713.39,7675.19,992.96M,0.28+ACU-
22/02/2024,7684.49,7662.51,7702.86,7651.65,1.32B,0.29+ACU-
21/02/2024,7662.51,7719.21,7719.21,7642.75,1.19B,+AC0-0.73+ACU-
20/02/2024,7719.21,7728.5,7748.73,7705.98,819.03M,+AC0-0.12+ACU-
19/02/2024,7728.5,7711.71,7733.54,7692.48,575.04M,0.22+ACU-
16/02/2024,7711.71,7597.53,7720.72,7597.53,996.23M,1.50+ACU-
15/02/2024,7597.53,7568.4,7612.34,7562.1,651.78M,0.38+ACU-
14/02/2024,7568.4,7512.28,7590.13,7512.28,1.14B,0.75+ACU-
13/02/2024,7512.28,7573.69,7585.31,7492.98,1.10B,+AC0-0.81+ACU-
12/02/2024,7573.69,7572.58,7590.45,7555.47,767.12M,0.01+ACU-
09/02/2024,7572.58,7595.48,7608.74,7557.35,1.03B,+AC0-0.30+ACU-
08/02/2024,7595.48,7628.75,7653.4,7593.57,650.74M,+AC0-0.44+ACU-
07/02/2024,7628.75,7681.01,7694.9,7626.23,920.83M,+AC0-0.68+ACU-
06/02/2024,7681.01,7612.86,7693.6,7612.86,1.44B,0.90+ACU-
05/02/2024,7612.86,7615.54,7667.82,7598.66,1.29B,+AC0-0.04+ACU-
02/02/2024,7615.54,7622.16,7670.91,7609.29,777.00M,+AC0-0.09+ACU-
01/02/2024,7622.16,7630.57,7673.67,7607.9,848.08M,+AC0-0.11+ACU-
31/01/2024,7630.57,7666.31,7689.69,7630.57,887.42M,+AC0-0.47+ACU-
30/01/2024,7666.31,7632.74,7684.24,7632.74,703.83M,0.44+ACU-
29/01/2024,7632.74,7635.09,7664.92,7630.76,597.18M,+AC0-0.03+ACU-
26/01/2024,7635.09,7529.73,7651.75,7529.69,985.33M,1.40+ACU-
25/01/2024,7529.73,7527.67,7544.46,7507.03,660.66M,0.03+ACU-
24/01/2024,7527.67,7485.73,7538.89,7485.73,810.48M,0.56+ACU-
23/01/2024,7485.73,7487.71,7525.13,7465.12,973.74M,+AC0-0.03+ACU-
22/01/2024,7487.71,7461.93,7503.61,7455.97,734.80M,0.35+ACU-
19/01/2024,7461.93,7459.09,7521.05,7450.86,1.13B,0.04+ACU-
18/01/2024,7459.09,7446.29,7471.66,7426.6,814.58M,0.17+ACU-
17/01/2024,7446.29,7558.34,7558.34,7404.08,769.96M,+AC0-1.48+ACU-
16/01/2024,7558.34,7594.91,7594.91,7538.85,1.09B,+AC0-0.48+ACU-
15/01/2024,7594.91,7624.93,7637.79,7578.33,692.82M,+AC0-0.39+ACU-
12/01/2024,7624.93,7576.59,7655.19,7576.59,738.50M,0.64+ACU-
11/01/2024,7576.59,7651.76,7693.9,7576.59,1.17B,+AC0-0.98+ACU-
10/01/2024,7651.76,7683.96,7683.96,7647.37,612.40M,+AC0-0.42+ACU-
09/01/2024,7683.96,7694.19,7717.5,7675.07,658.39M,+AC0-0.13+ACU-
08/01/2024,7694.19,7689.61,7694.19,7636.05,1.02B,0.06+ACU-
05/01/2024,7689.61,7723.07,7723.07,7642.86,610.45M,+AC0-0.43+ACU-
04/01/2024,7723.07,7682.33,7728.17,7678.84,925.46M,0.53+ACU-
03/01/2024,7682.33,7721.52,7744.55,7650.3,721.53M,+AC0-0.51+ACU-
02/01/2024,7721.52,7733.24,7764.37,7689.02,647.24M,+AC0-0.15+ACU-
29/12/2023,7733.24,7722.74,7746.91,7719.02,225.64M,0.14+ACU-
28/12/2023,7722.74,7724.95,7745.99,7708.74,316.82M,+AC0-0.03+ACU-
27/12/2023,7724.95,7697.51,7759.74,7697.51,409.46M,0.36+ACU-
22/12/2023,7697.51,7694.73,7715.21,7676.43,320.56M,0.04+ACU-
21/12/2023,7694.73,7715.68,7715.68,7668.41,562.95M,+AC0-0.27+ACU-
20/12/2023,7715.68,7638.03,7762.88,7637.93,875.63M,1.02+ACU-
19/12/2023,7638.03,7614.48,7642.15,7605.35,935.13M,0.31+ACU-
18/12/2023,7614.48,7576.36,7630.57,7557.24,661.07M,0.50+ACU-
15/12/2023,7576.36,7648.98,7668.22,7569,1.58B,+AC0-0.95+ACU-
14/12/2023,7648.98,7548.44,7724.81,7548.44,1.44B,1.33+ACU-
13/12/2023,7548.44,7542.77,7584.88,7542.68,888.29M,0.08+ACU-
12/12/2023,7542.77,7544.89,7607.51,7542.37,788.54M,+AC0-0.03+ACU-
11/12/2023,7544.89,7554.47,7557.4,7493.59,811.93M,+AC0-0.13+ACU-
