Date,Open,High,Low,Close
11/15/2024,"5,972.00","5,974.25","5,876.75","5,896.50"
11/14/2024,"6,017.75","6,025.25","5,964.25","5,978.25"
11/13/2024,"6,012.25","6,035.25","5,991.75","6,016.00"
11/12/2024,"6,029.25","6,036.50","5,986.75","6,013.00"
11/11/2024,"6,030.00","6,053.25","6,013.50","6,031.75"
11/08/2024,"6,007.75","6,040.50","5,990.25","6,025.25"
11/07/2024,"5,963.50","6,013.00","5,951.00","6,003.75"
11/06/2024,"5,820.25","5,967.00","5,814.75","5,958.25"
11/05/2024,"5,752.25","5,823.25","5,735.00","5,812.25"
11/04/2024,"5,741.75","5,776.50","5,724.25","5,743.25"
11/01/2024,"5,742.00","5,803.75","5,732.50","5,758.25"
10/31/2024,"5,840.00","5,844.00","5,733.25","5,738.50"
10/30/2024,"5,883.00","5,893.00","5,840.25","5,852.00"
10/29/2024,"5,867.00","5,883.75","5,837.50","5,871.00"
10/28/2024,"5,857.00","5,884.50","5,857.00","5,861.50"
10/25/2024,"5,853.25","5,900.75","5,835.00","5,846.00"
10/24/2024,"5,844.00","5,870.00","5,822.50","5,849.00"
10/23/2024,"5,887.25","5,893.75","5,801.00","5,837.75"
10/22/2024,"5,900.75","5,904.25","5,861.25","5,892.50"
10/21/2024,"5,911.50","5,915.50","5,865.00","5,896.25"
10/18/2024,"5,888.25","5,915.50","5,876.25","5,906.00"
10/17/2024,"5,882.75","5,927.25","5,871.25","5,887.00"
10/16/2024,"5,861.00","5,892.75","5,853.25","5,887.00"
10/15/2024,"5,914.25","5,915.50","5,850.00","5,862.75"
10/14/2024,"5,854.50","5,918.50","5,850.00","5,908.25"
10/11/2024,"5,831.00","5,868.25","5,816.00","5,859.75"
10/10/2024,"5,836.00","5,844.00","5,811.50","5,829.00"
10/09/2024,"5,799.25","5,846.50","5,780.75","5,841.25"
10/08/2024,"5,752.50","5,806.75","5,725.25","5,800.50"
10/07/2024,"5,802.00","5,808.00","5,734.25","5,744.75"
10/04/2024,"5,745.75","5,804.75","5,741.00","5,800.00"
10/03/2024,"5,769.50","5,772.75","5,725.75","5,749.50"
10/02/2024,"5,760.25","5,773.25","5,724.00","5,760.25"
10/01/2024,"5,807.00","5,822.50","5,733.00","5,759.75"
09/30/2024,"5,784.00","5,820.25","5,756.25","5,814.25"
09/27/2024,"5,804.25","5,821.50","5,782.00","5,791.25"
09/26/2024,"5,783.50","5,830.00","5,778.25","5,804.50"
09/25/2024,"5,792.25","5,798.75","5,768.00","5,779.00"
09/24/2024,"5,774.00","5,794.25","5,754.75","5,792.00"
09/23/2024,"5,762.00","5,784.50","5,745.25","5,776.75"
09/20/2024,"5,776.00","5,776.75","5,733.50","5,762.00"
09/19/2024,"5,693.00","5,797.50","5,691.00","5,778.00"
09/18/2024,"5,701.00","5,755.75","5,675.25","5,680.00"
09/17/2024,"5,694.25","5,737.00","5,677.75","5,700.25"
09/16/2024,"5,684.00","5,702.75","5,669.50","5,699.25"
09/13/2024,"5,598.50","5,641.50","5,597.25","5,629.75"
09/12/2024,"5,558.00","5,607.00","5,540.25","5,602.25"
09/11/2024,"5,499.25","5,567.50","5,412.00","5,561.25"
09/10/2024,"5,488.25","5,506.00","5,448.25","5,504.00"
09/09/2024,"5,410.00","5,493.00","5,405.25","5,479.50"
09/06/2024,"5,513.00","5,532.50","5,394.00","5,419.50"
09/05/2024,"5,527.50","5,557.25","5,490.00","5,512.25"
09/04/2024,"5,538.50","5,565.00","5,506.75","5,530.00"
09/03/2024,"5,665.00","5,669.75","5,516.75","5,541.75"
08/30/2024,"5,618.50","5,665.00","5,594.25","5,661.00"
08/29/2024,"5,580.50","5,663.75","5,561.25","5,610.00"
08/28/2024,"5,643.75","5,650.50","5,576.00","5,610.25"
08/27/2024,"5,630.00","5,649.50","5,611.50","5,644.75"
08/26/2024,"5,650.50","5,669.00","5,619.75","5,637.00"
08/23/2024,"5,597.75","5,662.25","5,597.75","5,652.50"
08/22/2024,"5,642.00","5,665.25","5,582.75","5,594.00"
08/21/2024,"5,619.50","5,655.25","5,613.50","5,641.50"
08/20/2024,"5,629.50","5,643.75","5,607.75","5,619.75"
08/19/2024,"5,584.00","5,631.75","5,565.25","5,630.00"
08/16/2024,"5,568.50","5,586.25","5,536.50","5,578.25"
08/15/2024,"5,481.25","5,571.75","5,471.75","5,567.50"
08/14/2024,"5,457.50","5,487.75","5,438.75","5,477.00"
08/13/2024,"5,372.50","5,461.25","5,367.50","5,459.00"
08/12/2024,"5,364.25","5,396.75","5,347.75","5,369.75"
08/09/2024,"5,348.25","5,385.25","5,319.50","5,370.25"
08/08/2024,"5,208.25","5,361.00","5,182.00","5,348.25"
08/07/2024,"5,241.50","5,359.25","5,196.75","5,227.50"
08/06/2024,"5,250.00","5,342.00","5,221.75","5,266.25"
08/05/2024,"5,330.00","5,345.50","5,120.00","5,217.50"
08/02/2024,"5,464.25","5,473.25","5,331.75","5,376.00"
08/01/2024,"5,574.75","5,600.75","5,444.75","5,480.25"
07/31/2024,"5,454.75","5,588.50","5,451.50","5,558.00"
07/30/2024,"5,504.50","5,527.50","5,433.00","5,472.50"
07/29/2024,"5,496.50","5,534.50","5,481.00","5,503.00"
07/26/2024,"5,446.00","5,528.25","5,445.25","5,499.00"
07/25/2024,"5,482.50","5,533.25","5,432.50","5,441.25"
07/24/2024,"5,585.00","5,585.00","5,462.00","5,472.00"
07/23/2024,"5,607.75","5,629.75","5,587.75","5,599.25"
07/22/2024,"5,564.50","5,616.00","5,553.50","5,610.75"
07/19/2024,"5,602.50","5,607.50","5,542.00","5,553.75"
07/18/2024,"5,644.00","5,664.00","5,570.25","5,594.50"
07/17/2024,"5,715.00","5,717.75","5,631.75","5,639.00"
07/16/2024,"5,688.75","5,721.25","5,673.00","5,717.25"
07/15/2024,"5,681.00","5,718.75","5,665.50","5,683.00"
07/12/2024,"5,638.50","5,708.25","5,621.25","5,664.75"
07/11/2024,"5,684.25","5,707.75","5,630.00","5,639.75"
07/10/2024,"5,631.75","5,690.50","5,630.75","5,688.00"
07/09/2024,"5,627.75","5,645.75","5,626.25","5,631.25"
07/08/2024,"5,612.00","5,637.50","5,610.75","5,625.25"
07/05/2024,"5,587.75","5,626.00","5,585.00","5,621.50"
07/03/2024,"5,563.75","5,595.75","5,559.75","5,590.25"
07/02/2024,"5,533.50","5,569.75","5,502.75","5,568.75"
07/01/2024,"5,534.25","5,541.00","5,504.50","5,533.75"
06/28/2024,"5,548.25","5,585.00","5,510.75","5,521.50"
06/27/2024,"5,533.00","5,555.00","5,515.75","5,546.00"
06/26/2024,"5,535.00","5,551.75","5,516.25","5,543.50"
06/25/2024,"5,516.00","5,539.75","5,511.00","5,537.00"
06/24/2024,"5,538.50","5,558.50","5,510.25","5,517.00"
06/21/2024,"5,545.00","5,550.75","5,519.00","5,534.25"
06/20/2024,"5,562.00","5,588.00","5,525.50","5,544.50"
06/18/2024,"5,548.00","5,562.75","5,541.50","5,559.75"
06/17/2024,"5,500.00","5,561.00","5,489.75","5,546.25"
06/14/2024,"5,436.00","5,443.00","5,397.75","5,437.50"
06/13/2024,"5,436.25","5,452.75","5,408.50","5,438.50"
06/12/2024,"5,384.50","5,454.50","5,380.00","5,427.50"
06/11/2024,"5,369.75","5,386.25","5,334.50","5,384.00"
06/10/2024,"5,351.50","5,375.75","5,338.25","5,371.25"
06/07/2024,"5,362.00","5,385.50","5,329.00","5,355.75"
06/06/2024,"5,367.75","5,373.25","5,345.25","5,364.00"
06/05/2024,"5,305.00","5,368.25","5,302.50","5,366.00"
06/04/2024,"5,300.25","5,312.25","5,262.00","5,304.00"
06/03/2024,"5,299.50","5,313.25","5,246.75","5,297.25"
05/31/2024,"5,250.50","5,307.00","5,205.50","5,295.50"
05/30/2024,"5,270.50","5,277.00","5,238.25","5,253.00"
05/29/2024,"5,323.75","5,324.00","5,268.25","5,284.00"
05/28/2024,"5,334.25","5,339.00","5,296.75","5,324.75"
05/24/2024,"5,285.75","5,329.25","5,285.75","5,321.50"
05/23/2024,"5,339.00","5,368.25","5,273.50","5,285.25"
05/22/2024,"5,343.50","5,349.25","5,306.75","5,328.00"
05/21/2024,"5,331.75","5,347.50","5,322.50","5,345.25"
05/20/2024,"5,329.25","5,348.25","5,323.75","5,331.75"
05/17/2024,"5,318.25","5,328.75","5,305.75","5,327.25"
05/16/2024,"5,331.50","5,349.00","5,315.50","5,320.25"
05/15/2024,"5,268.50","5,337.25","5,266.25","5,333.00"
05/14/2024,"5,241.75","5,274.25","5,216.75","5,269.50"
05/13/2024,"5,240.50","5,264.00","5,233.25","5,245.50"
05/10/2024,"5,240.75","5,264.00","5,232.75","5,246.25"
05/09/2024,"5,209.25","5,244.75","5,195.00","5,239.00"
05/08/2024,"5,211.75","5,218.00","5,188.75","5,212.75"
05/07/2024,"5,204.75","5,226.75","5,202.25","5,213.75"
05/06/2024,"5,166.75","5,207.75","5,155.75","5,206.50"
05/03/2024,"5,110.25","5,166.75","5,099.25","5,154.75"
05/02/2024,"5,057.00","5,113.00","5,036.25","5,091.50"
05/01/2024,"5,050.00","5,126.75","5,037.75","5,046.50"
04/30/2024,"5,148.50","5,148.50","5,051.00","5,067.00"
04/29/2024,"5,140.25","5,154.25","5,118.75","5,147.00"
04/26/2024,"5,132.00","5,146.50","5,104.50","5,131.50"
04/25/2024,"5,070.00","5,132.75","5,022.25","5,082.25"
04/24/2024,"5,115.25","5,128.75","5,072.25","5,107.50"
04/23/2024,"5,051.00","5,113.50","5,037.75","5,106.50"
04/22/2024,"5,014.25","5,076.75","5,006.00","5,047.50"
04/19/2024,"5,047.25","5,058.00","4,963.50","5,003.75"
04/18/2024,"5,063.00","5,095.25","5,038.50","5,049.00"
04/17/2024,"5,096.25","5,120.50","5,047.00","5,062.25"
04/16/2024,"5,101.25","5,123.25","5,078.75","5,092.50"
04/15/2024,"5,166.50","5,213.25","5,094.00","5,104.00"
04/12/2024,"5,244.00","5,248.75","5,150.00","5,167.50"
04/11/2024,"5,202.00","5,257.50","5,173.50","5,243.25"
04/10/2024,"5,264.25","5,285.00","5,176.50","5,207.75"
04/09/2024,"5,258.00","5,274.25","5,208.25","5,260.25"
04/08/2024,"5,263.25","5,269.25","5,236.50","5,253.25"
04/05/2024,"5,199.75","5,272.50","5,191.50","5,253.00"
04/04/2024,"5,270.75","5,308.50","5,192.50","5,197.25"
04/03/2024,"5,262.50","5,280.75","5,244.50","5,266.50"
04/02/2024,"5,294.50","5,296.00","5,235.00","5,260.50"
